Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,39.255001,39.292500,38.764999,38.849998,34.784935,6426000
2018-06-12,38.849998,39.387501,38.817501,39.352501,35.234852,7450800
2018-06-13,39.407501,39.672501,39.180000,39.285000,35.174412,6272000
2018-06-14,39.290001,39.790001,39.057499,39.705002,35.550472,8846000
2018-06-15,39.645000,39.912498,39.212502,39.884998,35.711636,16682000
2018-06-18,39.904999,40.192501,39.787498,40.102501,35.906372,6415600
2018-06-19,40.160000,40.775002,40.160000,40.750000,36.486130,9922400
2018-06-20,40.882500,40.882500,40.540001,40.674999,36.418976,5251600
2018-06-21,40.662498,41.142502,40.625000,40.842499,36.568954,7038000
2018-06-22,40.910000,41.107498,40.695000,41.075001,36.777122,8840800
2018-06-25,41.235001,41.712502,41.099998,41.599998,37.247189,7033200
2018-06-26,41.582500,42.080002,41.582500,41.692501,37.330006,7905200
2018-06-27,41.834999,42.162498,41.740002,42.020000,37.623230,8846000
2018-06-28,42.055000,42.382500,41.639999,41.702499,37.338966,7838400
2018-06-29,41.660000,42.047501,41.467499,41.757500,37.388210,6784400
2018-07-02,41.910000,42.305000,41.752499,42.252499,37.831413,6444400
2018-07-03,42.247501,42.312500,41.904999,42.139999,37.730682,5366400
2018-07-05,42.172501,42.202499,41.857498,42.134998,37.726208,9321200
2018-07-06,42.217499,42.662498,42.152500,42.577499,38.122406,6277600
2018-07-09,42.532501,42.597500,41.182499,41.330002,37.005440,9356000
2018-07-10,41.080002,42.072498,40.877499,41.860001,37.479984,7404400
2018-07-11,41.924999,42.322498,41.849998,42.102501,37.697124,5583200
2018-07-12,42.122501,42.287498,41.845001,42.122501,37.715023,7370000
2018-07-13,42.167500,42.404999,41.974998,42.380001,37.945580,6308800
2018-07-16,42.380001,42.512501,42.180000,42.375000,37.941101,5545600
2018-07-17,42.422501,42.674999,42.407501,42.552502,38.100021,5195200
2018-07-18,42.522499,42.580002,42.252499,42.355000,37.923187,4843600
2018-07-19,42.497501,42.875000,42.424999,42.562500,38.108978,6447200
2018-07-20,42.474998,42.557499,42.087502,42.492500,38.046307,4944800
2018-07-23,42.592499,42.639999,42.072498,42.207500,37.791115,6605600
2018-07-24,41.955002,42.615002,41.555000,42.552502,38.100021,9324000
2018-07-25,42.255001,42.397499,41.627499,41.937500,37.549377,10608800
2018-07-26,42.097500,42.352501,41.842499,42.040001,37.641144,7826800
2018-07-27,41.965000,42.119999,41.555000,41.744999,37.377018,6894800
2018-07-30,41.680000,41.794998,41.437500,41.557499,37.209141,6059200
2018-07-31,41.764999,41.932499,41.485001,41.884998,37.502365,6672400
2018-08-01,41.767502,42.067501,41.362499,41.974998,37.582947,8429600
2018-08-02,42.130001,42.404999,41.705002,42.362499,37.929897,7048800
2018-08-03,42.327499,42.982498,42.212502,42.787498,38.310440,5184000
2018-08-06,42.665001,43.017502,42.642502,42.752499,38.279091,3531200
2018-08-07,42.744999,42.744999,42.387501,42.657501,38.194031,4073600
2018-08-08,42.525002,42.735001,42.297501,42.520000,38.070930,3776000
2018-08-09,42.542500,42.755001,42.397499,42.712502,38.243279,3419600
2018-08-10,42.867500,43.264999,42.700001,42.732498,38.261189,4484000
2018-08-13,42.787498,43.097500,42.750000,42.825001,38.344006,6452000
2018-08-14,42.865002,43.134998,42.822498,42.985001,38.487259,4366800
2018-08-15,43.075001,43.480000,43.005001,43.192501,38.673061,6485600
2018-08-16,43.142502,43.764999,42.965000,43.697498,39.125214,6614400
2018-08-17,43.764999,43.912498,43.459999,43.792500,39.210278,5126000
2018-08-20,43.787498,43.902500,43.470001,43.575001,39.015541,4678800
2018-08-21,43.622501,43.622501,43.040001,43.157501,38.641720,4931600
2018-08-22,43.232498,43.294998,42.779999,42.927502,38.435791,5132800
2018-08-23,43.005001,43.259998,42.852501,42.907501,38.417881,4972400
2018-08-24,43.040001,43.209999,42.770000,43.174999,38.657391,5074800
2018-08-27,43.327499,43.450001,42.650002,42.865002,38.379818,5547600
2018-08-28,42.825001,42.867500,42.430000,42.639999,38.178368,6960800
2018-08-29,42.502499,42.715000,42.474998,42.632500,38.421696,5860000
2018-08-30,42.590000,42.880001,42.570000,42.707500,38.489296,6477200
2018-08-31,42.730000,42.950001,42.349998,42.525002,38.324814,7193600
2018-09-04,42.560001,42.687500,42.302502,42.507500,38.309044,6797200
2018-09-05,42.500000,42.965000,42.412498,42.904999,38.667278,7756400
2018-09-06,43.105000,43.702499,43.044998,43.455002,39.162964,8914800
2018-09-07,43.067501,43.375000,42.872501,43.025002,38.775433,7582000
2018-09-10,43.189999,43.247501,42.912498,43.007500,38.759663,6013200
2018-09-11,43.029999,43.340000,43.025002,43.037498,38.786694,8125200
2018-09-12,43.060001,43.259998,42.930000,43.125000,38.865562,7226000
2018-09-13,43.195000,43.672501,42.977501,43.650002,39.338703,8164800
2018-09-14,43.532501,43.592499,43.002499,43.412498,39.124660,6674800
2018-09-17,43.195000,43.514999,43.105000,43.465000,39.171982,6198800
2018-09-18,43.459999,43.557499,43.205002,43.360001,39.077347,4172400
2018-09-19,43.332500,43.389999,41.932499,42.292500,38.115284,9291600
2018-09-20,42.169998,42.382500,41.605000,42.317501,38.137814,8137200
2018-09-21,42.407501,42.845001,41.985001,42.689999,38.473518,16923200
2018-09-24,42.625000,42.630001,42.110001,42.202499,38.034168,8995600
2018-09-25,42.292500,42.292500,41.532501,41.712502,37.592567,7246400
2018-09-26,41.837502,41.837502,41.067501,41.112499,37.051838,8836800
2018-09-27,41.165001,41.642502,41.062500,41.397499,37.308678,9672400
2018-09-28,41.520000,41.907501,41.520000,41.900002,37.761555,9424800
2018-10-01,41.847500,41.855000,41.577499,41.747501,37.624119,5196000
2018-10-02,41.910000,42.439999,41.880001,42.334999,38.153591,5572400
2018-10-03,42.242500,42.775002,41.634998,42.060001,37.905750,9156000
2018-10-04,42.042500,42.325001,41.547501,42.312500,38.133301,9448000
2018-10-05,42.347500,43.192501,42.347500,43.092499,38.836262,8373200
2018-10-08,43.145000,43.612499,43.000000,43.330002,39.050301,6803600
2018-10-09,43.402500,43.617500,43.150002,43.432499,39.142681,5881200
2018-10-10,43.432499,43.915001,43.145000,43.187500,38.921883,7882800
2018-10-11,43.369999,43.512501,42.212502,42.272499,38.097256,8446000
2018-10-12,42.305000,42.452499,41.970001,42.340000,38.158089,6944400
2018-10-15,42.317501,42.645000,42.117500,42.410000,38.221172,6965200
2018-10-16,42.599998,43.084999,42.415001,42.822498,38.592922,4700400
2018-10-17,42.787498,42.900002,42.389999,42.705002,38.487038,3537600
2018-10-18,42.790001,43.022499,42.630001,42.892502,38.656021,4088400
2018-10-19,42.907501,43.622501,42.825001,43.365002,39.081852,7297200
